,0
0,0.45
1,-0.03
2,1.15
3,0.4
4,-0.06
5,0.82
6,0.23
7,-0.09
8,0.87
9,0.36
10,-0.13
11,0.87
12,0.38
13,-0.17
14,0.95
15,0.36
16,-0.25
17,0.89
18,0.25
19,-0.27
20,0.84
21,0.22
22,-0.22
23,0.9
24,0.24
25,-0.15
26,0.86
27,0.29
28,-0.14
29,0.88
30,0.31
31,-0.13
32,0.9
33,0.26
34,-0.18
35,0.9
36,0.28
37,-0.19
38,0.88
39,0.33
40,-0.19
41,0.88
42,0.32
43,-0.17
44,0.89
45,0.36
46,-0.16
47,0.85
48,0.38
49,-0.16
50,0.86
51,0.37
52,-0.17
53,0.86
54,0.35
55,-0.17
56,0.84
57,0.4
58,-0.16
59,0.84
60,0.39
61,-0.18
62,0.88
63,0.36
64,-0.17
65,0.86
66,0.35
67,-0.17
68,0.85
69,0.37
70,-0.17
71,0.87
72,0.37
73,-0.18
74,0.85
75,0.34
76,-0.18
77,0.86
78,0.38
79,-0.17
80,0.85
81,0.37
82,-0.17
83,0.86
84,0.35
85,-0.17
86,0.85
87,0.36
88,-0.17
89,0.86
90,0.38
91,-0.18
92,0.84
93,0.38
94,-0.18
95,0.85
96,0.38
97,-0.17
98,0.85
99,0.39
100,-0.17
101,0.84
102,0.39
103,-0.17
104,0.85
105,0.39
106,-0.18
107,0.86
108,0.39
109,-0.17
110,0.84
111,0.38
112,-0.18
113,0.84
114,0.39
115,-0.17
116,0.84
117,0.39
118,-0.17
119,0.85
120,0.39
121,-0.17
122,0.84
123,0.39
124,-0.17
125,0.84
126,0.4
127,-0.17
128,0.84
129,0.4
130,-0.18
131,0.84
132,0.39
133,-0.17
134,0.84
135,0.39
136,-0.17
137,0.84
138,0.4
139,-0.17
140,0.84
141,0.39
142,-0.18
143,0.85
144,0.39
145,-0.18
146,0.84
147,0.38
148,-0.18
149,0.84
150,0.4
151,-0.18
152,0.84
153,0.39
154,-0.18
155,0.84
156,0.39
157,-0.18
158,0.84
159,0.4
160,-0.18
161,0.84
162,0.4
163,-0.18
164,0.84
165,0.39
166,-0.18
167,0.85
168,0.39
169,-0.18
170,0.84
171,0.39
172,-0.18
173,0.84
174,0.39
175,-0.18
176,0.84
177,0.39
178,-0.18
179,0.81
180,0.34
181,-0.18
182,0.85
183,0.43
184,-0.11
